,width,height
1567,300,482
1568,300,430
1569,300,427
1570,300,427
1571,300,409
1572,300,450
1573,300,423
1574,300,450
1575,300,450
1576,300,432
1577,261,475
1578,300,450
1579,300,450
1580,300,450
1581,300,423
1582,300,431
1583,300,450
1584,300,425
1585,300,440
1586,216,331
1587,300,434
1588,300,427
1589,300,423
1590,300,417
1591,300,424
1592,262,475
1593,300,402
1594,300,428
1595,300,423
1596,300,427
1597,300,414
1598,300,450
1599,300,417
1600,300,427
1601,300,427
1602,300,427
1603,300,413
1604,300,376
1605,300,434
1606,300,374
1607,216,321
1608,300,408
1609,300,417
1610,300,422
1611,257,475
1612,291,475
1613,299,475
1614,225,343
1615,300,300
1616,300,450
1617,300,425
1618,261,475
1619,216,316
1620,300,421
1621,300,425
1622,300,422
1623,300,432
1624,300,446
1625,300,420
1626,300,204
1627,300,450
1628,300,428
1629,300,385
1630,300,450
1631,300,409
1632,300,450
1633,300,400
1634,300,429
1635,300,437
1636,261,475
1637,300,450
1638,257,475
1639,300,443
1640,300,450
1641,216,319
1642,216,317
1643,300,429
1644,300,300
1645,257,475
1646,259,475
1647,300,427
1648,300,422
1649,300,424
1650,300,434
1651,89,132
1652,300,450
1653,300,438
1654,300,424
1655,300,427
1656,216,330
1657,256,475
1658,300,400
1659,300,446
1660,300,427
1661,300,427
1662,216,325
1663,300,425
1664,300,420
1665,150,215
1666,216,322
1667,300,450
1668,300,412
1669,300,400
1670,300,428
1671,300,431
1672,300,423
1673,300,412
1674,300,450
1675,300,429
1676,300,424
1677,300,429
1678,216,330
1679,300,447
1680,300,408
1681,300,431
1682,300,362
1683,300,422
1684,258,475
1685,300,425
1686,300,448
1687,293,475
1688,300,434
1689,300,424
1690,300,425
1691,150,223
1692,225,351
1693,216,324
1694,216,318
1695,300,427
1696,300,424
1697,300,407
1698,300,432
1699,300,440
1700,260,475
1701,300,450
1702,300,422
1703,300,424
1704,300,432
1705,216,324
1706,300,424
1707,300,419
1708,300,431
1709,300,428
1710,300,430
1711,257,475
1712,216,316
1713,300,426
1714,300,436
1715,300,427
1716,300,423
1717,300,400
1718,298,475
1719,300,408
1720,300,441
1721,300,449
1722,216,335
1723,300,419
1724,300,445
1725,300,418
1726,300,418
1727,300,424
1728,300,425
1729,294,475
1730,300,450
1731,300,424
1732,300,423
1733,300,438
1734,300,420
1735,300,427
1736,300,441
1737,300,437
1738,300,422
1739,300,428
1740,300,429
1741,300,427
1742,300,423
1743,300,412
1744,300,444
1745,300,439
1746,299,475
1747,263,475
1748,300,405
1749,300,432
1750,300,459
1751,300,390
1752,300,429
1753,216,284
1754,300,437
1755,300,423
1756,300,419
1757,300,437
1758,300,439
1759,300,427
1760,300,433
1761,300,444
1762,300,446
1763,300,431
1764,300,428
1765,278,400
1766,300,430
1767,300,450
1768,300,198
1769,300,380
1770,300,431
1771,300,404
1772,300,444
1773,300,446
1774,300,424
1775,300,423
1776,300,454
1777,300,407
1778,300,444
1779,300,449
1780,300,447
1781,216,327
1782,282,475
1783,296,475
1784,300,431
1785,300,424
1786,300,450
1787,300,425
1788,300,424
1789,300,423
1790,300,437
1791,300,428
1792,300,450
1793,300,427
1794,300,429
1795,300,425
1796,300,433
1797,300,448
1798,300,433
1799,261,475
1800,300,451
1801,300,424
1802,300,445
1803,225,339
1804,300,429
1805,300,434
1806,300,432
1807,300,428
1808,216,324
1809,150,225
1810,216,330
1811,300,429
1812,300,424
1813,300,429
1814,300,400
1815,300,434
1816,300,405
1817,300,425
1818,300,425
1819,300,419
1820,261,475
1821,251,475
1822,266,475
1823,300,394
1824,300,444
1825,300,450
1826,300,426
1827,300,425
1828,300,406
1829,300,423
1830,300,432
1831,300,433
1832,256,475
1833,300,425
1834,300,441
1835,300,437
1836,216,320
1837,300,432
1838,300,376
1839,216,291
1840,300,427
1841,300,429
1842,89,141
1843,89,133
1844,300,422
1845,260,475
1846,300,424
1847,279,475
1848,300,411
1849,300,429
1850,300,429
1851,300,420
1852,300,414
1853,300,429
1854,216,328
1855,300,434
1856,300,444
1857,300,428
1858,300,473
1859,300,445
1860,300,423
1861,300,443
1862,300,432
1863,300,444
1864,256,475
1865,299,475
1866,216,377
1867,300,450
1868,216,325
1869,300,444
1870,260,475
1871,300,412
1872,300,434
1873,216,320
1874,300,425
1875,300,455
1876,300,428
1877,300,436
1878,300,429
1879,300,436
1880,300,433
1881,300,448
1882,300,444
1883,300,446
1884,300,423
1885,300,425
1886,300,432
1887,300,452
1888,300,434
1889,300,431
1890,300,424
1891,300,427
1892,300,448
1893,264,475
1894,300,431
1895,300,425
1896,279,500
1897,300,429
1898,300,433
1899,300,439
1900,300,425
1901,300,431
1902,300,433
1903,300,427
1904,300,427
1905,216,320
1906,267,475
1907,300,453
1908,300,426
1909,300,448
1910,300,446
1911,300,434
1912,300,425
1913,300,425
1914,300,425
1915,300,429
1916,300,443
1917,300,455
1918,300,448
1919,300,431
1920,300,450
1921,300,447
1922,216,320
1923,300,424
1924,263,475
1925,300,425
1926,300,412
1927,300,428
1928,300,429
1929,216,323
1930,300,425
1931,300,415
1932,300,408
1933,216,320
1934,300,427
1935,300,427
1936,300,408
1937,300,444
1938,300,432
1939,300,436
1940,300,414
1941,300,424
1942,300,429
1943,300,438
1944,300,447
1945,300,450
1946,300,423
1947,300,427
1948,300,424
1949,300,424
1950,300,405
1951,300,450
1952,300,431
1953,300,431
1954,216,324
1955,300,435
1956,300,427
1957,300,412
1958,260,475
1959,300,450
1960,300,445
1961,300,431
1962,258,475
1963,300,405
1964,300,450
1965,300,427
1966,267,475
1967,216,324
1968,300,441
1969,300,429
1970,282,500
1971,278,400
1972,300,450
1973,300,398
1974,261,475
1975,300,433
1976,300,425
1977,299,443
1978,262,475
1979,300,464
1980,300,424
1981,300,427
1982,300,413
1983,272,475
1984,300,423
1985,300,423
1986,300,455
1987,300,450
1988,300,444
1989,300,427
1990,300,429
1991,300,428
1992,300,424
1993,300,414
1994,300,431
1995,300,450
1996,300,427
1997,279,475
1998,300,444
1999,300,424
2000,300,428
2001,300,431
2002,300,437
2003,300,436
2004,300,450
2005,300,427
2006,300,437
2007,300,441
2008,300,429
2009,300,444
2010,300,397
2011,300,424
2012,300,450
2013,300,431
2014,300,450
2015,300,432
2016,300,414
2017,300,423
2018,259,475
2019,260,475
2020,216,329
2021,263,475
2022,300,445
2023,300,429
2024,300,413
2025,300,417
2026,262,475
2027,258,475
2028,300,432
2029,300,422
2030,300,427
2031,300,444
2032,300,450
2033,300,424
2034,300,424
2035,300,425
2036,300,436
2037,259,475
2038,300,429
2039,300,428
2040,300,385
2041,300,405
2042,300,427
2043,264,475
2044,300,429
2045,300,434
2046,300,424
2047,300,450
2048,300,436
2049,300,424
2050,300,429
2051,225,335
2052,300,422
2053,300,440
2054,300,408
2055,300,440
2056,300,429
2057,300,431
2058,300,431
2059,300,436
2060,300,428
2061,300,444
2062,300,462
2063,300,407
2064,300,407
2065,300,404
2066,263,475
2067,300,440
2068,259,475
2069,300,404
2070,225,364
2071,216,322
2072,300,444
2073,300,408
2074,300,427
2075,300,428
2076,300,422
2077,300,403
2078,300,398
2079,300,427
2080,300,425
2081,300,444
2082,300,447
2083,300,443
2084,300,433
2085,263,475
2086,263,475
2087,300,397
2088,300,431
2089,300,450
2090,300,425
2091,300,427
2092,300,431
2093,300,429
2094,295,475
2095,150,229
2096,300,425
2097,300,443
2098,300,415
2099,300,463
2100,300,434
2101,300,424
2102,300,417
2103,300,432
2104,300,434
2105,300,434
2106,300,439
2107,300,437
2108,300,436
2109,300,424
2110,216,323
2111,260,475
2112,300,436
2113,300,429
2114,300,424
2115,300,413
2116,300,408
2117,300,454
2118,300,433
2119,300,450
2120,300,419
2121,300,362
2122,300,424
2123,300,424
2124,285,400
2125,300,420
2126,300,423
2127,300,446
2128,300,425
2129,300,408
2130,300,388
2131,300,437
2132,300,434
2133,300,409
2134,260,475
2135,300,421
2136,300,429
2137,300,429
